               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,             0.02801,           0.0079575,                   0,             0.77016,             0.84985,             0.82836,             0.47047,            0.031579,           0.0049105,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.027974,           0.0077627,                   0,             0.79034,             0.82609,             0.82837,             0.45238,            0.033586,           0.0049381,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.028261,           0.0078932,                   0,             0.81995,             0.87681,             0.85818,             0.46419,            0.031431,           0.0045195,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.028547,           0.0077052,                   0,              0.7802,             0.90025,             0.84701,             0.45578,            0.031502,           0.0043716,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.027767,           0.0075465,                   0,             0.80322,             0.85507,              0.8201,             0.42831,            0.033241,           0.0048079,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.027447,           0.0077323,                   0,             0.78329,             0.81193,             0.79346,             0.41531,             0.03277,             0.00492,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.026542,           0.0073064,                   0,             0.75424,              0.9118,             0.82529,             0.46099,            0.031322,           0.0047827,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.028064,           0.0076606,                   0,             0.77282,              0.8913,             0.83547,             0.47186,            0.030113,           0.0045419,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.027911,           0.0073543,                   0,             0.77319,              0.8893,              0.8151,             0.45847,            0.030565,           0.0046372,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.027507,           0.0074457,                   0,             0.77103,             0.87845,             0.78964,             0.41805,            0.032046,           0.0048008,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.027032,           0.0070255,                   0,             0.69792,             0.80361,             0.77924,             0.43515,            0.032432,           0.0049591,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.027352,           0.0074194,                   0,             0.81818,              0.7826,             0.80056,             0.42742,            0.032982,           0.0050583,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.02707,           0.0071512,                   0,             0.82704,             0.79697,             0.82241,             0.41981,             0.03368,           0.0052671,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.027291,           0.0072232,                   0,             0.80749,             0.84058,             0.80789,             0.43794,            0.032843,           0.0053258,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.028005,           0.0077323,                   0,              0.8789,             0.78986,             0.84382,             0.45805,            0.034538,           0.0051823,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.025918,           0.0073171,                   0,             0.81506,             0.84783,             0.83536,             0.45382,            0.032455,            0.005188,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.026153,           0.0071218,                   0,             0.80928,             0.83022,             0.82791,             0.47068,            0.034188,           0.0054083,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.026541,            0.007335,                   0,             0.75963,             0.81884,             0.81919,             0.43429,            0.034957,           0.0057044,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.026609,           0.0069862,                   0,             0.82606,             0.83333,             0.86372,             0.46737,            0.030651,           0.0044804,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.026767,           0.0075539,                   0,              0.8316,             0.85881,             0.85881,             0.47374,            0.029942,           0.0044756,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.025845,             0.00741,                   0,             0.82217,             0.86232,             0.84942,              0.4484,            0.032139,           0.0046902,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.026807,            0.007551,                   0,             0.81892,             0.81931,             0.81907,             0.42035,            0.033247,           0.0054512,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.026936,           0.0074222,                   0,             0.78212,             0.91042,             0.84908,             0.45725,            0.032914,           0.0046639,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.025987,           0.0074208,                   0,             0.80082,             0.73913,             0.78758,             0.36614,            0.034904,           0.0049696,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.026173,           0.0067957,                   0,             0.80388,             0.85507,             0.82508,             0.42219,            0.033029,           0.0049863,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.025463,           0.0071639,                   0,             0.79966,             0.89855,             0.87654,             0.47521,            0.031903,           0.0045753,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.025481,           0.0068145,                   0,             0.79917,             0.89393,             0.87479,             0.44775,            0.030631,           0.0044956,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.025789,           0.0068263,                   0,             0.79774,             0.80026,             0.82257,              0.4178,            0.031783,           0.0049019,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.026743,           0.0071412,                   0,             0.79732,             0.80435,             0.81632,             0.43995,            0.032705,           0.0049019,                   0,            0.006832,            0.006832,            0.006832
                  98,             0.02594,           0.0072237,                   0,              0.7573,             0.87681,             0.83126,              0.4801,            0.029281,            0.004509,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.026773,           0.0075623,                   0,             0.80103,              0.8752,             0.83193,             0.47748,            0.030807,           0.0047131,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.025948,           0.0070723,                   0,             0.75994,             0.85507,             0.83638,             0.45902,            0.031883,           0.0047112,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.025943,           0.0067463,                   0,             0.79504,             0.84783,             0.81914,             0.44085,            0.030291,           0.0048628,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.025488,           0.0072054,                   0,              0.7801,             0.86232,             0.82147,              0.4488,            0.031249,           0.0050139,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.024928,           0.0069422,                   0,             0.81682,             0.83333,             0.84345,             0.44338,            0.032136,           0.0047736,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.02522,             0.00711,                   0,             0.87802,             0.78241,             0.84914,             0.45649,            0.031945,           0.0047426,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.025617,           0.0064887,                   0,             0.78775,             0.88755,             0.86892,             0.45473,            0.032733,           0.0050097,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.025102,           0.0068569,                   0,             0.86496,             0.74264,             0.82257,             0.40956,            0.033997,           0.0059338,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.025449,           0.0070074,                   0,             0.82517,             0.81159,             0.83587,             0.46898,            0.030575,           0.0052643,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.024691,           0.0070086,                   0,             0.82794,             0.82609,             0.83688,             0.43042,            0.030902,           0.0051575,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.025128,           0.0068486,                   0,              0.8069,             0.78731,             0.81949,             0.42022,            0.032864,           0.0052357,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.024891,           0.0072267,                   0,             0.81192,             0.84465,             0.84683,             0.43365,            0.032559,           0.0052404,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.024605,           0.0066276,                   0,             0.84076,             0.84783,             0.85363,             0.45494,            0.034351,           0.0049605,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.024965,           0.0068915,                   0,             0.80538,             0.83962,              0.8384,               0.459,            0.032372,           0.0047507,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.025671,            0.007199,                   0,             0.83011,             0.81435,             0.82505,             0.43188,            0.034158,           0.0049772,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.024896,           0.0069252,                   0,             0.80761,             0.84783,             0.84367,             0.44417,            0.032507,           0.0051055,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.024373,           0.0065806,                   0,             0.79208,             0.91098,             0.86804,             0.47059,            0.032585,           0.0045857,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.024751,           0.0067444,                   0,             0.86389,             0.85507,             0.87962,             0.49316,            0.030244,           0.0045133,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.024191,           0.0063121,                   0,             0.86748,             0.81884,             0.88376,              0.4925,            0.031946,           0.0049462,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.024784,           0.0066089,                   0,             0.80915,             0.87681,             0.84053,             0.44817,            0.031697,           0.0046306,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.024536,           0.0068189,                   0,              0.7796,             0.84584,             0.85971,             0.46656,            0.032321,            0.004817,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.024429,           0.0064954,                   0,             0.75846,             0.91016,             0.84583,             0.47443,            0.033019,           0.0049963,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.025033,           0.0065982,                   0,             0.82483,             0.85507,             0.84962,             0.45118,            0.033861,            0.004982,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.024366,           0.0067617,                   0,             0.81722,             0.88406,             0.86406,             0.46438,             0.03248,           0.0047264,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.024853,            0.006735,                   0,              0.8598,             0.84436,             0.87086,             0.44022,            0.031852,           0.0046258,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.024346,           0.0065915,                   0,             0.78522,             0.83333,             0.82961,             0.39687,            0.032715,           0.0047731,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.024471,           0.0066317,                   0,              0.8078,             0.86957,             0.84184,             0.47314,            0.030276,           0.0049157,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.024823,           0.0065759,                   0,             0.80923,             0.89855,             0.87036,              0.4808,            0.030122,            0.004591,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.024156,           0.0063798,                   0,             0.83896,               0.906,             0.84248,              0.4496,            0.031781,           0.0044513,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.024347,           0.0065393,                   0,             0.84161,             0.86957,             0.84648,             0.49319,            0.029232,           0.0045609,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.023661,           0.0063624,                   0,             0.76844,             0.84164,              0.8325,             0.44868,            0.030563,           0.0048504,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.023955,           0.0062703,                   0,             0.83458,             0.84089,             0.85545,              0.4677,            0.031491,           0.0048914,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.023574,           0.0064409,                   0,             0.78165,             0.85603,             0.85132,             0.46053,            0.031823,           0.0051332,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.023994,            0.006305,                   0,             0.81845,              0.8913,             0.88426,             0.48802,            0.030112,           0.0046625,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.023883,           0.0063788,                   0,             0.82249,             0.87301,             0.86515,             0.44338,            0.031731,           0.0048685,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.023841,           0.0066569,                   0,             0.85009,             0.80435,             0.86291,             0.44151,            0.030577,            0.004993,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.023375,           0.0065378,                   0,             0.85174,             0.83258,             0.86262,             0.47309,            0.030739,           0.0049257,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.024553,           0.0065035,                   0,             0.81038,              0.8913,             0.87266,             0.47053,            0.030972,           0.0048237,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.023559,           0.0064142,                   0,             0.81122,             0.86957,             0.85754,             0.46118,            0.030246,           0.0046887,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.023896,            0.006712,                   0,               0.796,             0.92029,             0.87314,             0.43837,             0.03131,           0.0045805,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.02323,           0.0061595,                   0,             0.85598,             0.81828,              0.8603,             0.44569,            0.031574,           0.0050836,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.023058,            0.006641,                   0,             0.85081,             0.87681,             0.85449,             0.44549,            0.030504,           0.0047474,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.023242,            0.006388,                   0,             0.83663,             0.85352,             0.86532,             0.47649,             0.03071,           0.0047874,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.023972,           0.0063088,                   0,             0.81978,             0.88997,             0.86398,             0.45579,            0.031213,            0.004797,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.023761,           0.0066391,                   0,             0.83155,             0.86232,              0.8713,             0.47578,             0.02992,           0.0050426,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.023612,           0.0067463,                   0,             0.79413,             0.81159,             0.83935,             0.47405,            0.032437,           0.0054717,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.023162,           0.0064017,                   0,             0.82512,             0.82057,             0.84956,             0.46373,            0.030688,           0.0052257,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.023224,           0.0062743,                   0,             0.83621,             0.86957,             0.86439,             0.47502,            0.030619,           0.0048819,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.022716,            0.006243,                   0,             0.78971,             0.81884,              0.8149,             0.41999,            0.032522,           0.0048361,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.023697,           0.0064317,                   0,             0.82954,             0.84058,             0.85326,             0.45413,            0.030734,           0.0050411,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.023136,           0.0061073,                   0,             0.83909,             0.83131,             0.83395,             0.43122,            0.031645,           0.0049973,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.023339,           0.0063612,                   0,             0.79386,             0.89855,             0.84521,             0.48806,            0.030586,           0.0048079,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.022139,           0.0058162,                   0,             0.86229,              0.7971,             0.86128,             0.48951,            0.030193,           0.0049362,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.022528,           0.0062596,                   0,              0.7905,             0.87497,             0.86351,             0.44786,            0.032277,            0.005105,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.023053,           0.0063006,                   0,             0.83463,             0.83333,             0.85193,             0.44925,            0.032029,           0.0053973,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.022357,           0.0061109,                   0,              0.8603,             0.83333,             0.85978,             0.45305,            0.031191,           0.0049891,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.022339,           0.0064139,                   0,             0.79572,             0.86957,             0.85729,             0.48977,            0.030056,           0.0049806,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.022787,           0.0064074,                   0,             0.84781,             0.81159,             0.85054,             0.46591,            0.030667,           0.0049992,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.022278,            0.006153,                   0,              0.7923,              0.8913,             0.85053,              0.4895,            0.029784,           0.0048118,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.022723,           0.0061436,                   0,             0.85307,             0.84143,               0.863,             0.48732,            0.030418,           0.0048919,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.021983,           0.0059554,                   0,              0.8608,             0.80658,             0.85664,              0.4766,            0.030226,           0.0054574,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.022735,           0.0058456,                   0,             0.82296,             0.81159,             0.81872,             0.48139,             0.03064,           0.0053329,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.023332,           0.0063186,                   0,             0.86708,             0.81884,             0.85323,             0.48708,            0.030966,           0.0051508,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.022423,           0.0059825,                   0,             0.89017,             0.77536,             0.84367,             0.45131,             0.02995,           0.0056095,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.022687,           0.0061601,                   0,             0.91443,             0.73188,             0.83427,             0.42144,            0.030955,           0.0063567,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.021811,           0.0061079,                   0,             0.78807,             0.84783,             0.83271,             0.45808,            0.029754,           0.0054584,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.022319,            0.006205,                   0,             0.84212,             0.85033,             0.86508,             0.47885,            0.029016,            0.004796,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.022204,           0.0059378,                   0,             0.84779,             0.86957,              0.8616,             0.47944,            0.030607,           0.0047684,                   0,            0.004555,            0.004555,            0.004555
