                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.92221,                0.18869,                0.99259,                0.72941,                0.72277,                0.74926,                0.42844,                 1.3992,                0.22609,                0.90501,               0.006634,               0.006634,               0.006634
                    104,                0.90529,                0.18182,                0.98378,                0.71046,                0.80015,                0.74262,                0.44185,                 1.3652,                  0.217,                0.90557,               0.006601,               0.006601,               0.006601
                    105,                0.94929,                0.19096,                 1.0085,                0.71553,                0.74731,                0.70661,                0.41561,                 1.3702,                0.23683,                 0.9328,               0.006568,               0.006568,               0.006568
                    106,                0.93887,                0.18948,                 1.0123,                 0.7043,                0.79395,                 0.7357,                 0.4353,                 1.3607,                0.21203,                0.91275,               0.006535,               0.006535,               0.006535
                    107,                0.93634,                0.19224,                0.98921,                0.74936,                0.76812,                0.75126,                0.39117,                 1.4911,                0.22772,                0.93181,               0.006502,               0.006502,               0.006502
                    108,                0.96151,                0.18735,                 1.0001,                0.77701,                0.73227,                0.73657,                0.42476,                 1.4722,                0.21507,                0.90915,               0.006469,               0.006469,               0.006469
                    109,                0.94844,                0.18904,                 1.0022,                0.66276,                0.76087,                0.72304,                0.41371,                 1.4691,                0.22767,                0.91816,               0.006436,               0.006436,               0.006436
                    110,                0.92424,                0.18499,                0.99707,                0.64596,                 0.7971,                0.71753,                0.42664,                 1.4189,                0.22191,                0.90275,               0.006403,               0.006403,               0.006403
                    111,                0.94467,                0.18579,                 1.0008,                0.67025,                0.73188,                0.69414,                0.41564,                 1.4181,                0.22288,                0.90174,                0.00637,                0.00637,                0.00637
                    112,                0.95049,                0.19377,                 1.0098,                0.76043,                0.77536,                0.75619,                 0.4272,                 1.4546,                0.22526,                0.90411,               0.006337,               0.006337,               0.006337
                    113,                0.91379,                0.18347,                 0.9862,                0.72332,                0.81159,                0.77586,                0.45654,                 1.3981,                0.20973,                0.90554,               0.006304,               0.006304,               0.006304
                    114,                0.95803,                0.18824,                 1.0036,                0.71178,                0.73373,                0.75339,                 0.4255,                 1.5331,                0.22447,                0.92839,               0.006271,               0.006271,               0.006271
                    115,                0.93062,                0.18253,                0.98953,                0.75476,                0.80435,                0.81107,                0.46652,                 1.4097,                0.21335,                0.90998,               0.006238,               0.006238,               0.006238
                    116,                0.91913,                0.18249,                0.98664,                0.66132,                0.74993,                0.71953,                0.40717,                 1.4335,                0.23457,                0.91511,               0.006205,               0.006205,               0.006205
                    117,                0.93837,                0.18376,                0.99818,                0.71323,                0.81101,                 0.7346,                0.43129,                 1.3719,                0.21188,                0.92043,               0.006172,               0.006172,               0.006172
                    118,                0.93491,                0.18706,                 1.0071,                0.67878,                0.78986,                0.70327,                 0.4137,                 1.4523,                0.21684,                0.92017,               0.006139,               0.006139,               0.006139
                    119,                 0.8965,                   0.18,                0.99054,                0.72483,                 0.8017,                0.75337,                0.44636,                 1.3691,                  0.212,                0.89949,               0.006106,               0.006106,               0.006106
                    120,                0.90941,                0.18012,                0.98636,                0.74491,                0.68116,                0.74688,                0.43953,                 1.4433,                0.21846,                0.91399,               0.006073,               0.006073,               0.006073
                    121,                 0.9467,                0.18287,                0.99019,                0.71471,                0.73188,                0.75886,                 0.4251,                  1.533,                0.21054,                0.93833,                0.00604,                0.00604,                0.00604
                    122,                0.90407,                0.17671,                0.98888,                0.75621,                0.77536,                0.78516,                0.45965,                  1.365,                0.20071,                0.90514,               0.006007,               0.006007,               0.006007
                    123,                0.89291,                0.17353,                0.97471,                0.76498,                0.74638,                0.76103,                0.45654,                   1.39,                0.21181,                0.91902,               0.005974,               0.005974,               0.005974
                    124,                0.91994,                0.17809,                0.99049,                0.77436,                0.78986,                0.77088,                0.45001,                 1.4359,                0.22804,                0.92773,               0.005941,               0.005941,               0.005941
                    125,                0.87411,                0.17094,                0.97732,                0.74271,                0.76812,                0.76599,                0.42588,                 1.5123,                0.22523,                0.92497,               0.005908,               0.005908,               0.005908
                    126,                0.90033,                0.17621,                0.97932,                0.75332,                0.76812,                0.75625,                 0.4251,                 1.4316,                0.22532,                0.91827,               0.005875,               0.005875,               0.005875
                    127,                0.88243,                0.17223,                0.97974,                0.72105,                0.77536,                0.76519,                0.44578,                 1.4351,                0.21392,                0.91549,               0.005842,               0.005842,               0.005842
                    128,                0.91407,                0.17602,                0.97881,                 0.6437,                0.78549,                0.70107,                0.40787,                 1.3953,                0.22367,                0.90566,               0.005809,               0.005809,               0.005809
                    129,                 0.8784,                0.16794,                0.98335,                0.68601,                0.80745,                0.73189,                0.41107,                 1.4851,                0.22139,                0.91835,               0.005776,               0.005776,               0.005776
                    130,                0.88785,                0.17273,                0.97664,                0.65772,                0.77979,                0.72822,                0.41653,                 1.4262,                0.22153,                0.91636,               0.005743,               0.005743,               0.005743
                    131,                0.89461,                0.17354,                 0.9835,                0.66372,                0.73188,                0.71033,                0.41381,                 1.4763,                0.22027,                0.92911,                0.00571,                0.00571,                0.00571
                    132,                0.87741,                0.16738,                0.96898,                0.67821,                0.75362,                0.73069,                0.43939,                  1.421,                  0.211,                0.93267,               0.005677,               0.005677,               0.005677
                    133,                0.87505,                0.17052,                0.97143,                0.65795,                 0.7971,                 0.7178,                0.41476,                 1.4432,                0.22483,                0.94419,               0.005644,               0.005644,               0.005644
                    134,                0.87272,                0.17087,                0.98135,                0.71917,                0.82609,                0.80267,                0.48109,                 1.3697,                0.20508,                0.91331,               0.005611,               0.005611,               0.005611
                    135,                0.86828,                0.16984,                0.96826,                0.70821,                0.73188,                 0.7491,                0.43253,                 1.4688,                0.21817,                0.91587,               0.005578,               0.005578,               0.005578
                    136,                0.87473,                0.17299,                0.97314,                0.73807,                0.80435,                0.77105,                0.45012,                  1.404,                0.21284,                0.92759,               0.005545,               0.005545,               0.005545
                    137,                0.86575,                0.16724,                0.97844,                0.71158,                0.71514,                0.72482,                0.41619,                 1.4646,                0.22404,                0.93003,               0.005512,               0.005512,               0.005512
                    138,                0.88958,                0.17398,                  0.977,                0.65862,                 0.7971,                0.73881,                0.42924,                 1.4612,                0.21508,                0.93306,               0.005479,               0.005479,               0.005479
                    139,                0.86009,                0.17181,                  0.967,                0.75038,                0.80598,                0.77841,                0.44826,                 1.3984,                0.21892,                0.90813,               0.005446,               0.005446,               0.005446
                    140,                0.85533,                 0.1635,                0.95939,                0.77534,                 0.7971,                 0.7565,                0.43898,                 1.4513,                0.21064,                0.90841,               0.005413,               0.005413,               0.005413
                    141,                0.86483,                0.16752,                0.97808,                0.70503,                0.80435,                0.73046,                0.42166,                 1.4692,                 0.2193,                0.91257,                0.00538,                0.00538,                0.00538
                    142,                0.87446,                0.16586,                0.96657,                0.75728,                0.73913,                0.74315,                   0.42,                 1.4262,                0.22422,                0.91014,               0.005347,               0.005347,               0.005347
                    143,                0.90279,                0.17723,                0.97316,                0.71663,                0.77536,                0.72918,                0.41377,                 1.4197,                0.22655,                0.91954,               0.005314,               0.005314,               0.005314
                    144,                0.85873,                0.17012,                0.96133,                0.65576,                0.84058,                0.70148,                0.41685,                 1.3901,                0.22112,                0.90718,               0.005281,               0.005281,               0.005281
                    145,                0.85196,                0.16468,                0.96836,                0.72449,                0.72464,                 0.7088,                 0.3804,                 1.4484,                0.23469,                0.91585,               0.005248,               0.005248,               0.005248
